les,the,them,,
jeux,games,,,
olympiques,Olympic,,,
sont,are,,,
un,a,an,one,,
événement ,event,,,
international ,international,,,
majeur,major,adult,,
regroupant,gathering,,,
sports,sports,,,
d,of,from,with,for
été,summer,was,,
et,and,,,
hiver,winter ,,,
auquel,which,whom,,
des,of,,,
milliers,thousands,,,
athlètes,athletes,,,
participent,participate,contribute,,
il,he,it,,
faut,must,should,,
dire,say,tell,state,claim
que,that,what,than,
le,the,,,
défi,challenge,,,
artistique,artistic,,,
lesté,weighted,stuffed,,
grosse,big,,,
enveloppe,envelope,casing,,
budgétaire,budgetary,,,
est,is,,,
terriblement ,terribly,,,
excitant,exciting,,
pour,for,to,
ceux,those,the ones,
qui,who,whom,which
ont,have,,
toujours,always,still,
pris,taken,,
leurs,their,,
rêves,dreams,,
réalités,reality,,
je,I ,,
lis,read,lily,
sur,on,by,
smartphone,smart phone,,
depuis,since,for,
cinq,5,,
ans,years,,,,,,,
c,it,this,,,,,,
plus,more,,,,,,,
simple,simple,easy,,,,,,
léger,light,lightweight,subtle,,,,,
avoir,to have,,,,,,,
livres,books,,,,,,,
en,in,about it,of them,here,of,by,while,when
papier,paper,document,,,,,,
dans,in ,during,,,,,,
sac,bag,sack,,,,,,
main,hand,handball,,,,,,
l,the,,,,,,,
Assemblée,Assembly,gathering,meeting,,,,,
national,national,federal,,,,,,
s,themselves,himself,herself,,,,,
prononcée,pronounced,gave,decided,
par ,by,through,,
vote,vote,,,
solennel,solemn,,,
adoption,adoption,,,
définitive,definitive,,,
du,of,from,some,
projet,project,,proposal,draft
loi,law,rule,,
de,of,from,with,for
ouvrant,opening,door,window,openable
mariage,marriage,wedding,,
aux,to the,with,at the,
couples,couples,pairs,partners,
même ,same,even,very,identical
sexe,gender,sex,sexuality,
mardi,tuesday,,,
avril,april,,,
puis,then,so,also,finally
23,23,,,
2013,2013,,,
17,17,,,
mai,May,,,
Conseil,council,,,
constitutionnel,constitutional,,,
a,has,,
validé,validity,valid,,
texte,text,text,,
promulgué ,published,promulgated,,
lendemain,tomorrow,next day,future,
président,president,,,
République,Republic,,,
22ème,twenty second,,,,,,,,
édition,edition,,,,,,,,
ouvert,open,,,,,,,,
Sotchi,Sochi,,,,,,,,
à,in,at,to,,,,,,
Russie,Russia,,,,,,,,
7,7,,,,,,,,
février,February,,,,,,,,
dernier,last,final ,latest,,,,,,
peu,little,few ,,,,,,,
comme,like,as,,,,,,,
chez,in,home,at,to,,,,,
Vini,Vini,,,,,,,,
Divini,Divini,,,,,,,,
son,his,her,its,sound,volume,bran,,,
exquise,exquisite,charming,delightful,beautiful,divine ,lovely,outstanding,superb,delicious
petite,small,little,short,young
napolitaine,Neapolitan,,,
nichée,brood,,,
une,a,an,one,,
ruelle,street,alley,lane,
bruxelloise,inhabitant of Brussels,,,
où,where,,,
chanteuse,singer,,,
flûtiste,flutist,,,
belge,Belgian,,,
nous,we,us,,
donné,gave,given,cheap,
rendez-vous,appointment,date,meeting,
faudra,must,should,need to,
se,oneself,himself,herself,
laisser,leave,,,
faire,to do,,,
attendre,to wait,to expect,to wait for,
jour,day,,,
dit,says,tells,recites,claims
inspiration,inspiration,bright idea,inhalation,
chef,boss,leader,chef,
ministère,ministry,department,office,
éducation,educaton,teaching,instruction,manners
nationale,national,nationwide,,
annoncé,announced,made public,foreshadowed,
jeudi,thursday,,,
20,20,,,
réforme,reform,,,
programmes,programs,schedules,establish,organize
primaire,primary,elementary,simplistic,
collège,middle school,,,
serait,will be,,,
partiellement,partially,in part,incompletely,
reportée,copied,taken back,,
an,year,years old,,
ce,this,that,,
test,test,trial,,
donc,therefore,so,hence,but
utile,useful,necessary,required,helpful
utilisateurs,users,,,
cannabis,cannabis,,,
occasionnel,occasional,accidental,,
contrairement,contrary to,unlike,,
était,was,have been,,
devant,in front of,before,front,
derriére,behind,,,
caméra,camera,video camera,,
Paris,Paris,,
Los,Los,,
Angeles,Angeles,,
Julie,Julie,,
Delpy,Delpy,,
actrice,actress,,
scénariste,scriptwriter,,
réalisatrice,director,producer,
productrice,producer,generator,production
maman,mother,,
très,very,too,
occupée,busy,occupied,dedicated to
mon,my,,
père,father,dad,
première,first,opening,
ligne,line,,
Ardennes,Ardennes,,,,
fait,do,make,play,done,made
face,face,side,,,
troupes,troops,command,,,
fanatisées,fanaticised,radicalized,,,
allemandes,German,,,,
avant,before,ahead of,earlier,,
passer,passing,spending,flowing past,,
barbelés,barbed wire,barbed,,,
savait,know,is aware,is familiar with,,
quelque,some,a little,whatever,,
chose,thing,object,matter,item,affair
adossée,leaned against,stood against,,,
âgés,old,elderly,,,
Allemagne,Germany,,,,
anciens,ancient,old,former,,
arrêtés,stopped,interrupted,halted,
au,to the,at the,with,
Auschwitz,Auschwitz,,,
Bade-Wurtemberg,Bade-Wurtemberg,,,
battu,beaten,defeated,hit,beat
boursière,broker,market,,
boycott,boycott,,,
cadre,setting,frame,surroundings,
camp,camp,faction,campsite,
capital-risque,venture capital,,,
capitalisation,capitalization,,,
cérémonie,ceremony,celebration,ritual,
cette,that,this,,
cetrtains,some,certain,,
clôture,fence,closure,closing,close
concentration,concentration,focus,,
concouru,competed,entered,contributed,,,,
